,attitude,tweets
23310,positive,Kris Bryant may have saved the season with 1 swing of the bat. Early but that was HUGE in stopping a pyroclastic flow of inadequacy. #CUBS
23314,positive,My 9-5 job is ACTUALLY 9-5 now! I will celebrate with Dunkin' Donuts tomorrow.. You're welcome for the free advertising btw @Reno_Dunkin
23315,positive,"""#REPORT""""@Austynzogs: President Buhari will visit Cameroun on Wednesday. He will hold talks with President Biya on the issue of Boko Haram"""""""
23316,positive,I want to go see Twenty One Pilots give me a sunday lolla ticket. And a Friday one for Paul McCartney
23321,positive,"""So.. finally saw @AnnaAkana in Ant-Man"
23323,positive,Going to see Paper Towns tonight or tomorrow night!! Woohoo I can't wait!!! Thanks for writing the book @johngreen
23331,positive,"""i just won the sickest game of the show in 19 innings cause Ryan Braun is a stud"
23337,positive,"""Ant-Man premieres tomorrow night in Doha. A savior from the atrocity that was """"Pixels."""""""
23338,positive,"""I'm desperate enough to go see Ant-Man"
23342,positive,Just found myself googling 'ant man quantum realm reflection'. I may be thinking about Ant-Man too much. It is ace though.
23344,positive,"""Up before the sun today"
23346,positive,"""Wednesday is Movie Day!  We recently saw Ant-Man"
23348,positive,"""Been watching 'montage of heck' and liking it a lot"
23349,positive,Domino's song of the day for Tuesday July 28th is: Zac Brown Band - Chicken Fried. Listen for it sometime between... http://t.co/DZHkIwjiN5
23354,positive,Kris Bryant may be one of my favorite ball players all-time when it's said and done.
23356,positive,BBTN: Kris Bryant hit his 1st career walk-off HR for the @Cubs last night and he seemed to enjoy it. pic.twitt... http://t.co/knpVqg604i
23358,positive,About last night: Kris Bryant wins a wild one with walk-off home run in the 9th. #Cubs photos: http://t.co/BPldyE6YWb http://t.co/q0aJ9IkCF9
23359,positive,"""Go see Paper Towns movie on July 24th"
23361,positive,NUEVO DJ Sergio ! NIRVANA! This FRIDAY! LEGENDARY Max TOrres! Isis the VOICE! and DJ Sergio! WIth the BEST of the... http://t.co/IZg7F7z759
23368,positive,"""Hulk Hogan with a homophobic slur now? Can't wait to hear the """"Hitler had it right"""" clip that'll play tomorrow."""
23374,positive,"""Don't miss the Town Hall with presidential candidate John Kasich on July 31st"
23378,positive,Bad Blood is #1 at pop radio for the 6th consecutive week!! http://t.co/JhfDY92iVg
23379,positive,"""People may not like him"
23381,positive,Ant-Man is one of the funniest Marvel movies we've watched. Check out our spoiler free review! http://t.co/VPR25xu1LW http://t.co/GSTr1mpWQD
23383,positive,"""Off to see Paper Towns with my love! Also"
23387,positive,"""I watched Sharknado 3: Oh Hell No! today and it was really really awesome! Better than 2nd"
23392,positive,"""I don't know what I'm more excited about - starting a new Hub8 project"
23395,positive,5 Days off now! Bit of golf on the agenda and a few other bits. Looking forward to watching @Marvel's Ant-Man on Thursday too!
23398,positive,"""proper geeking out today; Ant-man was so good and Under the dome till i sleep"
23402,positive,"""Don't look now"
23413,positive,@EvangelineLilly So I'm a bit late but I watched Ant-man. It was amazing and great job! Can't wait for the 2nd one!
23417,positive,Bri and I are going to see Paper Towns tomorrow and my body is ready
23420,positive,"""29 March 1987 - Wrestlemania III-93"
23421,positive,"""@HeroesInColor00 you definitely aren't"
23425,positive,"""Watching Paper Towns tomorrow with my bestfriend"
23426,positive,"""@Caradelevingne You're cool as always"
23428,positive,Going to see Paper Towns tomorrow before dance with meh bestie!! So hyped!! @PaperTownsMovie #PaperTownsMovie
23430,positive,Happy birthday @austinbpeacock. May your day be filled with everything Kris Bryant and Alfonso Soriono
23435,positive,"""@CMShehbaz happy Eid greetings to you too"
23446,positive,"""@EveLovelock1 Hi Eve"
23449,positive,Dang! Watch Paper Towns for the 3rd time
23454,positive,"""Rainy weekend helps power surging UK box-office"
23467,positive,ANT-MAN:                   Screening:  Sat &amp; Sun @ 1.00pm Super Tue @ 6.00pm  Armed with the astonishing ability... http://t.co/3IwBMzgK3D
23470,positive,This Friday! You don't want to miss this high energy and unique set of Iron Maiden and Judas Priest! http://t.co/myOusvEuCA
23473,positive,"""At 12:00 AM - Hey Yakub"
23474,positive,Cool for the summer Good for you Lean on  Bad Blood See you again  https://t.co/CeLm6ttJen
23479,positive,"""@taimour_aga Dear Taimouraga"
23491,positive,"""Tomorrow is the last day to see Ant-Man so Mission: Impossible Rogue Nation can begin Friday"
23494,positive,Ant-Man is here through the 30th!! #AntMan #Summer http://t.co/PfEUoXh1EI
23496,positive,"""Still really want to see Ant-Man"
23498,positive,"""Ooh national girlfriend day on Saturday and there's a fan screening of Paper Towns"
23512,positive,"""He's a handsome devil"
23516,positive,Charles Gets The Grandkids Into Gardening: He may be only two years old but it seems Prince George's grandfath... http://t.co/Kq0YRUl6dB
23525,positive,"""No work for the rest of the week means Ant-Man tomorrow morning"
23529,positive,@MarieDJones Think Sharknado is on Netflix. While being a veggie today I may look for it. :)
23533,positive,"""Top 5 Best New Moto G Phone Cases: If you're looking for a phone case for your new Moto G (3rd gen)"
23546,positive,"""Heeeeey @101WKQX and @Sabra"
23548,positive,"""@michaelbdiamond @JorgeSoler68 @CubsJoeMadd @Cubs September sounds good... 9/26 is kris Bryant bobblehead day"
23555,positive,"""can't wait for tomorrow...we are going to watch Paper Towns"
23556,positive,"""Ohhhhh"
23572,positive,"""It's official: FINALLY get to go see Ant-Man tomorrow!! First real day off in 2 months!! So stoked- NO SPOILERS"
23579,positive,Might just have to hit up Monday night raw because Brock Lesnar is going to be there.
23580,positive,ENDS TOMORROW! Want to win $100 Visa + 5 copies of Paper Towns ? I just entered to win and you can too. http://t.co/nEXozW8QSf
23581,positive,"""Also tomorrow on http://t.co/5S3JnGVn9G you'll find my review of Ant-Man. That's right bitches"
23599,positive,I watched Ant-Man for the 3rd time today.
23601,positive,"""Get paid on Friday and all I can think about wanting to do is go to the cinema to watch Ant-Man"
23603,positive,Vegas Sept 12 Floyd Mayweather undercard. Make sure you there!!
23604,positive,"""@ThePaddyMcB Fair enough. Unrelated"
23607,positive,"""It's me"
23613,positive,"""And like all those left behind by the 257 people he helped kill"
23614,positive,I just saw Paper Towns today and I kinda wanna go see it again tomorrow
23617,positive,"""Hulk Hogan sex tape reportedly includes racist tirade: WWE has parted ways with one of their best-known stars.  On Friday"
23618,positive,@sardesairajdeep Tomorrow is Yakub's daughter's 21st birthday. Hope she will have a better tomorrow.
23622,positive,Michael Douglas may not be coming back for another Marvel film...he did so good in Ant-Man though
23625,positive,Yooooo I'm taking all of the donuts Dunkin has tomorrow. Free inhabitant yo https://t.co/SABzJPG7v9
23627,positive,Definitely going to dunkin donuts tomorrow morning
23628,positive,Anyone wanna see Jason Aldean with me on the today show on Friday?? Cristina won't go
23630,positive,Hats off to Dupreme Court who sat till early morning n did not allow attempt to postpone the hanging of Yakub.
23639,positive,"""#Happy birthday Yakub"
23641,positive,Hungry...again. But then I remembered I work at Dunkin tomorrow and can stuff my face with donuts. Perks or nah
23643,positive,"""Went and saw Paper Towns on Friday. It did a pretty good job of covering most of the novel's main points"
23653,positive,"""@alexisgraboski oh sweet! I'm going on Friday"
23662,positive,"""i really sat through"
23663,positive,Nirvana and whiskey it's a Wednesday night get wit me
23668,positive,Prince George playing in his magical playground may be the cutest thing we can ever imagine http://t.co/uiwNHVHTOX http://t.co/ZftxeMwnyY
23670,positive,"""I have tomorrow off so it's Friday to me! """"What will you do with your day off"
23676,positive,"""LONDON"
23678,positive,Awww sooo True the 1st comment WonderGirls are Special and Gem of Kpop!! #Reboot #IFeelYou http://t.co/mhySccDfVk
23683,positive,"""We're going to watch """"Paper Towns"""" tomorrow~"""
23685,positive,"""I had a really great time watching Ant-man"
23693,positive,I'll be in the presence of Paul McCartney tomorrow night so if you hear of a guy ripping his skull out in downtown Chicago it wasn't me
23695,positive,Happy almost weekend! Celebrate your Thursday with a nice cold chocolate nirvana at $1 off!
23700,positive,"""I'm seeing Paul McCartney tomorrow"
23714,positive,But I'm even more stoked about seeing Gary Clark Jr and Paul McCartney tomorrow
23716,positive,July 23 was National Hot Dog Day.  I'm all for celebrating but is this taking it too far? http://t.co/PAyWdJOZKv
23717,positive,I hope the Oct 3 special from Madison Square Garden (feat. Brock Lesnar) is broadcast on the Network... 'cause this guy has ringside seats.
23718,positive,Tonight come out for our WXTU promo! 7-8:30 you can win (2) tickets to see Jason Aldean on August 15th 2015!... http://t.co/xy1Qd4pNEd
23730,positive,"""2) Asking for a friend who is going to Lolla for Paul McCartney tomorrow.  Yes"
23737,positive,Seattle's best Iron Maiden tribute band Maiden Seattle plays the Blue Moon on August 8th with Schudge and... http://t.co/KiKOPZenoX
23738,positive,"""It may cost more"
23739,positive,Last day for ANT-MAN!  MISSION IMPOSSIBLE ROGUE NATION opens FRI!  I am so impressed with this movie!  Don't miss it! http://t.co/9oBvQ08q1w
23740,positive,5th day in! I have lost the 1 kg I gained during Eid (that I had lost during Ramadan) 9 more to go! I have... http://t.co/fJ9nr39lXE
23745,positive,The new Moto G may be the best budget phone... again. http://t.co/GXy3TDlRpC  #News #TechNews
23750,positive,holy shit holy shit holy shit just found out I'm gonna see Paul McCartney tomorrow!!!!!!!!!
23751,positive,Also may have purchased a Brock Lesnar and a Bray Wyatt shirt for my trip to #SummerSlam. It's the day before payday &amp; I still have money!
23752,positive,Prince George's latest outing at the beach may be his cutest one yet! http://t.co/hchWNblwQp http://t.co/5kDsfRHUxu
23753,positive,Hi @GraceRandolph how the editing of your new @marvel video coming along? Up tomorrow ? Waiting to watch it. Ant-man opens here tomorrow
23757,positive,"""Bad Blood is #1 at pop radio for a 6TH WEEK! To celebrate"
23762,positive,"""Chuck Norris &amp; cloth diapers - a Thursday afternoon can't get better than that! (Oh wait"
23771,positive,Paul McCartney's 70th birthday is tomorrow.  We MUST get it to trend! :)
23772,positive,Saw Paper Towns on Saturday!  Pretty sweet movie - love the casting! https://t.co/J9lvXbn87X
23780,positive,Josh Hamilton ties this sucker up @ 3-3!  Smashes his 4th homer of the season.
23782,positive,update: boss texted me to ask if I read the Rolling Stone article about GCJr's upcoming album #wow gonna cry when he retires in December
23783,positive,"""Bad Blood has just reached 400"
23784,positive,"""it's crazy how I swore up &amp; down that """"Ant-Man"""" would stink but I'm excited to see it a 2nd time."""
23785,positive,"""May you all have a happy Eid "
23787,positive,"""Paul McCartney is playing"
23788,positive,Paper Towns is one of my favorite books and tomorrow I'm going to the movie with one of my favorite people.  @SarayRojas7
23789,positive,"""you gonna be okay with me gone another night? """"yea I'm throwing a huge party"""" """"really!"""" """"no I'm watching a nirvana movie for the 3rd time"""""""
23795,positive,Hope everyone checks out Rusty's Rockfeast: Backstage with the Zac Brown Band on fyi Thursday's at 10p!
23797,positive,"""But really someone come with me tomorrow night to see """"Paper Towns"""""""
23798,positive,Are you guys ready for Brock Lesnar to return on Monday Night Raw?!?! Too bad I already wore his shirt last Monday. I gotta wash it soon.
23802,positive,Kris Bryant's sac fly brings home Starlin Castro to make it 4-2 #Cubs in the 9th inning! #CubsTalk
23804,positive,"""I just finished reading Paper Towns last night"
23805,positive,"""Well"
23806,positive,"""Lol Paul McCartney tomorrow"
23807,positive,Im going to the Kenny Chesney and Jason Aldean Concert this Saturday!! FUCKKK YEAHSSSS
23808,positive,Can't wait to see Paper Towns tomorrow with @LorraineBunch
23809,positive,"""So I get paid tomorrow and I have no work so that means movie catch up day. Southpaw"
23811,positive,#Rangers THE UNBEATABLE ANDREW MILLER...BLOWS UP IN THE 9TH! Josh Hamilton walks it off with a 2 out knock..YANKEES LOSE
23812,positive,Wooooo Josh Hamilton just made tomorrow nights dinner plans half off @PapaJohns @Rangers walk off single in 7-6 win over @Yankees
23814,positive,Texas is the Walk-Off State tonight. Josh Hamilton just singled in winner in 9th vs Yankees.
23818,positive,"""@cinemasins @andysignore both of you"
23820,positive,As cool as it would be to see the weekend tomorrow it's impossible to skip out on Paul McCartney
23825,positive,"""Had no plans of seeing Paper Towns"
23830,positive,Today I purchase my new smart phone MOTO G 3rd Generation... it is very nice looking and water proof .. http://t.co/OR3NaWXljc
23838,positive,"""just like the old times.. :D   """"Brock Lesnar confronts The Undertaker: Raw"
23840,positive,"""If you want to buy a new phone"
23841,positive,Okay for sure going to go watch Southpaw and Paper Towns tomorrow
23842,positive,hopes 4 the film version: John Green's Paper Towns http://t.co/5sGsogEgkT looking forward to seeing advancescreening of Paper Towns tomorrow
23844,positive,might as well go see Ant-Man for the 4th time again since its release..
23845,positive,"""Seeing Ant-Man on monday"
23848,positive,Gonna watch Paper Towns for the second time on Monday
23853,positive,Hey happy Friday!!! Today T&amp;P will be giving away a pair of tickets to the Zac Brown Band's August 7th show at... http://t.co/Pp0A4fQyor
23856,positive,"""srsly tho"
23858,positive,Sat on the beach blasting out Calibraska #Dope
23859,positive,It's Friday! Finally seeing Paper Towns tonight! It's going to be a good day! #wallofcow
23865,positive,"""Jason Aldean concert while working from home"
23866,positive,Loving Friday with Jason Aldean on Today! #JasonAldeanTODAY
23867,positive,"""I want to see Brock Lesnar F-5 David Cameron this November. Whaddaya think"
23870,positive,I'm going to watching Mission Impossible: Rogue Nation and Paper Towns tomorrow. #stokedAF
23872,positive,@RondaRousey set of skills. Skills that may make me a pleasure for a woman like you. I won't go Floyd Mayweather on you but I will fornicate
23874,positive,@Marvel's Ant-Man is in cinemas this weekend and we have goodies to giveaway. See @WitnessKZN tomorrow (August 1) for all the deets
23875,positive,"""Anyway"
23880,positive,Go through the best flip covers and back covers available for Moto G 3rd Gen  http://t.co/YYLDdP3TJP #Motorola #Smartphones #MotoG3rdGen
23884,positive,"""Bad Blood now has more than 400M views"
23886,positive,The best CGI in Ant-Man isn't the ant scenes. It's that 1st scene with Michael Douglas' face. #smhowzow
23891,positive,ICYMI: The new YA coming of age story PAPER TOWNS may be a tad cliche but it finishes strong and boasts a good cast http://t.co/ZO6toJTvou
23894,positive,i am going to listen to Calibraska on repeat on my flight tomorrow
23896,positive,"""Rolling Stone says Blister in the Sun and the rest of the Violent Femmes debut album """"exploded like an over-ripe... http://t.co/AmQ8ub5vEW"""
23897,positive,"""@Jacksters26 Probably see Ant-Man at the cinema tomorrow. ) I hope you enjoy your tea"
23898,positive,"""Jake"
23900,positive,Going to see Paper Towns tomorrow... Just remembered I wanted to re-read it before seeing the film...going to crack it out now @johngreen
23902,positive,Forgot to thank @God &amp; @Jesus for Dean Ambrose wrestling on Monday with no shirt on. God is good. #blessed
23904,positive,Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... http://t.co/7kJlzuCCWF
23905,positive,THE SUNDAY DAILY The Rock: Hulk Hogan's paid the price for racist rant: DWAYNE 'The Rock' Johnson (pix)... http://t.co/N6nBr7Dl7e #PrkDR
23907,positive,"""Finally going to see ANT-MAN tonight"
23909,positive,SO excited to see an early release of Paper Towns tomorrow and also Inside Out! Be a great day @cineworld #UnlimitedCard
23910,positive,"""Ant-man is getting good reviews"
23911,positive,Going to go see ant-man tomorrow hope it's good
23916,positive,"""@FabrecIass I had high expectactions when I watched because everyone was hyping it so much"
23919,positive,This was probably the best Rowdy Roddy Piper thing ever - living in Alcatraz before fighting Hulk Hogan http://t.co/b6tszvBeFE via
23922,positive,July 31 2015 The man that carried Hulk Hogan to be a star. Piper was the best talker in the business http://t.co/7tbAm3Uw1y
23924,positive,"""@sroarke_nhl I recall an  insane 80s Friday Night WWF classic where he hobbled with crutches into another match to """"help"""" rival Hulk Hogan."""
23927,positive,There may or may not be real tears when Paul McCartney takes the stage
23930,positive,"""SNAP!: ANT-MAN Even with this being my 2nd time seeing it"
23931,positive,"""Seeing Ant-man for the 2nd time (@ AMC North Point Mall 12 - @amctheatres for Ant-Man in Alpharetta"
23932,positive,Is there anyone out there that wants to go with me to the Kenny Chesney Jason Aldean concert tomorrow for free!?!?!?
23934,positive,Paul McCartney you are amazing but tiredness beats out everything. See you tomorrow @lollapalooza.
23941,positive,"""Just updated my iPod with 20 new songs (Pentatonix"
23942,positive,No better way to end the night than with Paul McCartney. Until tomorrow! #goodnightlolla #Lollapalooza http://t.co/i2lVqgM6Ml
23943,positive,Lithium may just be my favorite Nirvana song oat
23944,positive,@Braxwolf We're going to see Ant-Man tomorrow. I figured it would seem even better in comparison after watching this. :)
23945,positive,"""Friday random ten: Revisiting the Rolling Stone 500 Greatest Songs list"
23947,positive,You can sell your soul to the devil but your ass belongs to Brock Lesnar..@HeymanHustle...may just be the greatest ever to pick up a mic
23949,positive,seeing Paul McCartney sing Blackbird live tonight may or may not be the highlight of my life so far
23951,positive,A3: This was probably a LONG time ago. Insurgent maybe? And meh. I am going to see Paper Towns on Sunday though!  #rqwn
23953,positive,Literally 5th row Paul McCartney you are phenomenal
23954,positive,"""Hearing Paul McCartney live was absolutely incredible. I'm glad I wasn't in the crowd but I sat by the lake instead"
23955,positive,1st day of #Lolla - amazing. Paul McCartney floored me. Not sure any moment in my life will match Let it Be live. http://t.co/aGo8gxVvs7
23956,positive,Paul McCartney playing as the sun sets in Chicago was definitely one of the most beautiful things I've ever witnessed ok
23957,positive,Paul McCartney did not disappoint the 4th time.  #Legendofmusic https://t.co/r0jq7u8yIL
23959,positive,"""Due to me watching Paper Towns tomorrow"
23961,positive,"""Of course I'm coming! Writer is going to see Ant-Man tomorrow"
23964,positive,"""#FCFILMMEDIA Moto G (3rd Generation) : A Perfect Smartphone: Moto G"
23967,positive,"""Saturday movie reviews: """"Ant-man"""" is fun &amp; light http://t.co/hFOCj2Lv60 while """"Woman in Gold"""" is tugs at the heart http://t.co/ZOzkRfq58y"""
23970,positive,"""Okay so I'm going to be able to cross off 3 Legend bands/artist from my Bucket List.. AC/DC"
23972,positive,That was a day..... Paul McCartney may be the best Lolla set I've ever seen
23975,positive,@RajivMakhni Moto G (3rd Gen) have all the super power that i really want in a smartphone !! #MyMotoG
23976,positive,Might just have to go see Ant-man tomorrow
23977,positive,"""Its a Saturday what better way to spend the evening than to see an advanced showing of Paper Towns"
23979,positive,Won king of the ring 2nd place and I got Randy Orton card. http://t.co/HAfRAxwAPy
23981,positive,The Book of Souls sounds like it's going to be everything we love about Iron Maiden. Can't wait for sept 4th! https://t.co/g6LuMJdMrg
23987,positive,"""The price creep is real"
23988,positive,"""Whatever happens"
23991,positive,"""Since 2013 Danny Valencia is the 21st best hitter vs LHP in baseball"
23993,positive,"""After Monday's match against Seth Rollins"
23996,positive,When Dunkin' Donuts actually get your order right on a Saturday morning you know it's going to be a good day
23997,positive,Just realized I don't miss you that much.  The sun is out. Nothing is better than today. I have reached nirvana. I think I need to pee.
23999,positive,"""'Rowdy' Roddy Piper"
24000,positive,i was internally screaming when i heard the intro to Fourth Of July in Paper Towns
24003,positive,@TaraReid  Never had a need for Twitter. Then Sharknado made the public responsible for April's life. Hope to see you in Sharknado 4.
24004,positive,We're howling with our new friends at Swaders Sports Park in Prince George for their 9th birthday celebration!... http://t.co/A71vOSGJJq
24005,positive,Sharknado 3 may have just slid its way into my top 5 movies
24006,positive,"""Was going to wait and start """"Go Set a Watchman"""" on the plane tomorrow"
24009,positive,A happy fun loving Saturday 2 the wonderful @TaraReid true CHAMPION of Sharknado films an always shows the love 2 everyone across the world
24011,positive,@absoluteradio can you play some Iron Maiden for me while I'm stuck at work on a Saturday night!
24014,positive,"""@FB_BMB I went to see Mission Impossible Rouge Nation today"
24016,positive,Lavalantula is genuinely better than Pixels. I have laughed so may more times and not at it but with it. The guy from Sharknado showed up
24018,positive,"""@SurlyNurseJoy New Iron Maiden album on the 4th of September~ Has their longest eversong on it"
24019,positive,It's the first of August and started off good with Ant-Man.
24020,positive,@MissWhit83 If you were told you were going to lose to Floyd Mayweather in the 5th round you'd be rightly concerned about the first 4 rounds
24021,positive,"""@CharlesHeffer Probs my 3rd fav old band"
24024,positive,I do claim Brock Lesnar as one of the best UFC fighters ever because he is the 2nd person EVER to win the title in only his 4th pro fight.
24025,positive,"""Honestly"
24026,positive,"""Spent the last hour listening to Van Halen"
24028,positive,"""@XFilesNews doing a #XF3DayHiatus watch over the weekend! Sat Bad Blood"
24029,positive,"""I would say"
24032,positive,"""Totally worth watching Nirvana's 1st interview w/ MTV"
24036,positive,Someone go see Zac Brown Band with me September 12!!
24037,positive,@death_spells oh!! Maybe pride tomorrow? Or metro?? I rlly wanna go to that Asian place with Kpop stuff...
24040,positive,Good article on the ins and outs of Josh Hamilton's contract.#RSM337 http://t.co/QbmSwr4gJG
24044,positive,"""I'm going to knock 4 bands off my concert bucket list this Thursday"
24045,positive,Catching up on WWE for the week thanks to the Saturday night reruns. Seth Rollins is underappreciated.
24053,positive,@Mistah_Whiskahs @jcynda @bradisinnewyork saw my 1st concert in 91 acdc then saw nirvana at the big day out WOW still remember likeyesterday
24054,positive,It's the Saturday of a long weekend and I'm at home watching Sharknado. This is my new life.
24055,positive,"""the """"somebody talk"""" in rising sun literally brought Kpop from the brink of death"""
24058,positive,"""The fact that Bailey is bringing Dunkin into work tomorrow"
24060,positive,I feel like Brock Lesnar may be the only boyfriend that's safe dating Rousey.
24062,positive,everyone needs to watch the live streamed Sir Paul McCartney set @lollapalooza is showcasing tomorrow night. can't wait to reminisce.
24063,positive,Floyd Mayweather may be greatest boxer in the world right now but Ronda Rousey is the greatest fighter in the world
24065,positive,Who wants to go see Ant-Man tomorrow? I believe it's a film about a man who's imbued with all the powers of a guy named Anthony.
24066,positive,"""Watched Ant-Man for the 2nd time today"
24067,positive,"""New blog"
24069,positive,Moto G (3rd Gen.) truly signifies what a life long friendship is all about :) #MotoBffRevealed http://t.co/8ihy7RMuGz @MotorolaIndia
24071,positive,Josh Hamilton hit a 2 run bomb in the top of the 10th and Rangers fans probably thought it was over LMAO
24073,positive,We will defeat Boko Haram by the end of this year-Buhari: Speaking in Cotonou on Saturday during a gala lunch ... http://t.co/ErbBWnB6Bt
24075,positive,"""Have you participated yet ? #AFriendLikeOyo Contest in on at @oyorooms  MOTO G (3rd Gen)"
24076,positive,"""Best-Selling Books Week Ended July 26th. FICTION 1. """"Go Set a Watchman"""" by Harper Lee (HarperCollins) 2. """"The Isle of the Lost"""" by Melissa"""
24081,positive,Unexpected development-- saw Ant-Man on Saturday night in London. It was surprisingly charming. I actually quite enjoyed it.
24084,positive,Oh look. There's TWRP for the Moto G 3rd Gen already.
24089,positive,@kp_85 @YesImprovisers @MotorolaIndia enjoy the vibes with Moto G (3rd Gen.) #MotoBffRevealed http://t.co/zjeNPFx1Sw
24092,positive,"""To Kill a Mockingbird may be the better-written work"
24093,positive,Great op-ed on millennials hardship vs baby boomer nirvana - Let's give all the op-ed writers a trophy!  http://t.co/11Xexfdf83 #WoeIsMe
24094,positive,A tribute to Rowdy Roddy Piper and the return of Brock Lesnar. It all happens tomorrow! #Raw
24101,positive,"""@DeShobhaa loved the way the debate on Yakub's hanging was ended by you. """"We the people"""" today was thought provoking https://t.co/cVKCmJEa8w"""
24105,positive,"""Thinking about Zac Brown Band and @The_Handle_Bar ? Well """"Keep me on mind"""" for a ZBB ride 5pm Thursday at Fenway!"""
24110,positive,"""I truly believe there are Christians"
24111,positive,"""May Allaah protect all the Muslims wherever they are.""""Ameen YaAllah"""
24114,positive,"""going to see Ant-Man today then will get pasta"
24116,positive,"""Going to see Ant-Man today for the Sunday Matinee"
24117,positive,nothing in the world is better than laying in the sun listening to nirvana
24120,positive,XTU will be in the house this Thursday Night giving away Jason Aldean tickets! http://t.co/3V6zccdSzx
24129,positive,"""HEROES! Well"
24130,positive,I went and saw Paper Towns on Friday and there was this scene where they sang the Pokemon theme song and it was SOOOOO FUNNY
24134,positive,"""Back to work tomorrow so off to the cinema to finally watch Ant-Man with Jackson. Heard good things"
24142,positive,"""@ssrizvy  World is not only for Muslims"
24148,positive,JOSH HAMILTON 2 RUN BLAST! Rangers lead the Giants 2-0 in the 6th! #NeverEverQuit
24149,positive,"""HOME RUN JOSH HAMILTON!!! #Rangers get on the board first"
24152,positive,Paper Towns is out the 17th and were going okay @emmaduffy_99
24154,positive,Ant-Man at AMC Cinema Suites on a Sunday afternoon is a great choice. Good film. Have to see it again cause missed @HayleyAtwell's scene
24157,positive,Now going to watch Ant-man for a 2nd time and drving everybody...
24159,positive,I fail to be an Ant in my new video! Ant-Man review coming tomorrow guys hope you like it!
24161,positive,The Texas Rangers did a nice job today and Josh Hamilton is able to hit his 5th home run and he did a great job today.
24167,positive,Going to see Paper Towns for the 4th time
24173,positive,This time next Sunday I'll be at the Zac Brown Band concert at Fenway. Can't wait for it
24182,positive,Tomorrow I'm doing the coolest thing of my life. I'm going to be in a Taylormade commercial as Dustin Johnson's playing partner!!!
24183,positive,My hope for the two remaining empty podiums on Thursday is Chris Christie and John Kasich.
24185,positive,#NewYear #love #fun Chicago Cubs rookie third baseman Kris Bryant left Sunday's game against the Milwaukee Bre...  http://t.co/lP8zPaC1zd
24186,positive,Summer is BUSY! Saw Ant-Man with super heroes LilF and @TheAndyRok. Tomorrow Minecraft with @Parker_GamesMC and @JoinSuperLeague
24189,positive,I'm listening to a blue grass song that I usually associate with Nirvana. It's that kinda Sunday.
24190,positive,"""I'm so excited for the Cubs game tomorrow! I can't wait! Jon Lester on the hill"
24195,positive,@AMCTheatres Saw Ant-Man at AMC Eastchase 9 in Fort Worth.  1st time at the theater.  Great experience for my wife and me!
24199,positive,@MieshaTate So pumped that you worked your way back up Miesha &amp; I know you'll get the W in the 3rd fight with Rousey! http://t.co/CERCEl1pLJ
24200,positive,"""gonna see the god"
24201,positive,@tvnvi i was listening to the remastered version of Thursday but got the original its v gritty like HoB but Rolling Stone is my fav atm
24203,positive,Had a very interesting day! LOVED SIr Paul McCartney Live at #Lollapalooza thanks to a friend's link on Facebook!  Night! Cya tomorrow!
24206,positive,"""#Gawker Nigerian Army Frees 101 Children"
24207,positive,"""#Gawker #News Nigerian Army Frees 101 Children"
24208,positive,Wishing you a happy Eid Mubarak. May the peace of Allah and the joy of Eid be with you today and always.
24209,positive,@AjsChillin happy birthday bro! better not see you at dunkin tomorrow
24213,positive,Festival girl: I definitely want to see at least the end of Paul McCartney tonight! Her friend: OMG yes.  Paul played on Friday...
24215,positive,"""Josh Hamilton's 5th home run of the season"
24216,positive,"""However ASAP Rocky gets the title for Sunday... Unreal performance"
24217,positive,"""I hope I see that cute boi with the nirvana shirt"
24218,positive,i may or may not be crying as i listen to calibraska for the 1037292947291 time bc of how proud i am of jack and jack ((-':
24221,positive,"""If anyone saw the UFC190 fight on Saturday"
24222,positive,I'm in the south but my greatest desire is to see an end to Boko Haram. May God help our @MBuhari president. @APCNigeria
24227,positive,"""who remembers that time they played Nirvana at the 8th grade dance and a """"mosh pit"""" happened because I have the video still LOLOL."""
24231,positive,watching Paper Towns today for the 1st time yaaay
24235,positive,"""Vice President Yemi Osinbajo today"
24236,positive,@neilcford Cheers. Being told the Moto G (2nd gen) is a good bet too. Similar specs. Will be down to OS I think. Many thanks :-)
24242,positive,"""We saw Ant-man last Saturday - it was very good. Proves that no matter your size"
24243,positive,I just finished reading Paper Towns! I can't wait to see the movie this wednesday! @johngreen
24247,positive,I liked a @YouTube video http://t.co/kAv2EatPF3 Friday Night Smackdown - Mark Henry clashes with Randy Orton on the Cutting Edge
24251,positive,Rousey obliterated Correia on Saturday! Is she the most dominant @ufc fighter ever? #ufc190 #RondaRousey
24258,positive,"""@MattSpiegel670 @JayZawaski670 Can confirm first-hand"
24260,positive,"""December 5th could be the biggest UFC Card put together. Aldo &amp; McGregor"
24263,positive,Wwe MONDAY NIGHT RAW is going to be HILARIOUS I can't wait for this and BROCK LESNAR
24268,positive,Make a wwe world heavyweight championship match on Monday night raw with Seth Rollins vs roman reigns and you can BELIEVE THAT
24271,positive,Final shows for Pixels &amp; Ant-Man are Thursday! Opening Wednesday: Shaun the Sheep &amp; Thursday: Fantastic Four!
24275,positive,"""@nataweezy lol not you"
